Date,adj close,Date,Comp,Negative,Neutral,Positive
2007-01-01,12469.971875,2007-01-01,-0.9814,0.159,0.749,-0.9814
2007-01-02,12472.245703,2007-01-02,-0.8521,0.116,0.785,-0.8521
2007-01-03,12474.519531,2007-01-03,-0.9993,0.198,0.737,-0.9993
2007-01-04,12480.69043,2007-01-04,-0.9982,0.131,0.806,-0.9982
2007-01-05,12398.009766,2007-01-05,-0.9901,0.124,0.794,-0.9901
2007-01-06,12406.503255333333,2007-01-06,-0.965,0.134,0.771,-0.965
2007-01-07,12414.996744666667,2007-01-07,-0.9976,0.195,0.734,-0.9976
2007-01-08,12423.490234,2007-01-08,-0.9558,0.111,0.791,-0.9558
2007-01-09,12416.599609,2007-01-09,-0.9962,0.107,0.843,-0.9962
2007-01-10,12442.160156,2007-01-10,-0.9504,0.134,0.743,-0.9504
2007-01-11,12514.980469,2007-01-11,-0.998,0.128,0.814,-0.998
2007-01-12,12556.080078,2007-01-12,-0.9899,0.122,0.816,-0.9899
2007-01-13,12562.7075195,2007-01-13,-0.9975,0.207,0.707,-0.9975
2007-01-14,12569.334961,2007-01-14,-0.9907,0.179,0.709,-0.9907
2007-01-15,12575.962402500001,2007-01-15,-0.607,0.092,0.827,-0.607
2007-01-16,12582.589844,2007-01-16,-0.9822,0.112,0.802,-0.9822
2007-01-17,12577.150391,2007-01-17,-0.9986,0.176,0.743,-0.9986
2007-01-18,12567.929688,2007-01-18,-0.9994,0.213,0.7,-0.9994
2007-01-19,12565.530273,2007-01-19,-0.9963,0.118,0.82,-0.9963
2007-01-20,12536.073567333333,2007-01-20,-0.9841,0.132,0.786,-0.9841
2007-01-21,12506.616861666667,2007-01-21,-0.9851,0.14,0.775,-0.9851
2007-01-22,12477.160156,2007-01-22,-0.5638,0.099,0.804,-0.5638
2007-01-23,12533.799805,2007-01-23,-0.9989,0.153,0.781,-0.9989
2007-01-24,12621.769531,2007-01-24,-0.9921,0.138,0.757,-0.9921
2007-01-25,12502.55957,2007-01-25,-0.9965,0.153,0.744,-0.9965
2007-01-26,12487.019531,2007-01-26,-0.997,0.143,0.78,-0.997
2007-01-27,12488.273111666667,2007-01-27,-0.9816,0.13,0.8,-0.9816
2007-01-28,12489.526692333333,2007-01-28,-0.988,0.161,0.749,-0.988
2007-01-29,12490.780273,2007-01-29,-0.9359,0.135,0.739,-0.9359
2007-01-30,12523.30957,2007-01-30,-0.9993,0.187,0.723,-0.9993
2007-01-31,12621.69043,2007-01-31,0.9597,0.136,0.71,0.9597
2007-02-01,12673.679688,2007-02-01,-0.9961,0.15,0.754,-0.9961
2007-02-02,12653.490234,2007-02-02,-0.9962,0.167,0.719,-0.9962
2007-02-03,12656.240234,2007-02-03,-0.9967,0.21,0.666,-0.9967
2007-02-04,12658.990234,2007-02-04,-0.974,0.154,0.735,-0.974
2007-02-05,12661.740234,2007-02-05,-0.9995,0.219,0.719,-0.9995
2007-02-06,12666.30957,2007-02-06,-0.9993,0.184,0.726,-0.9993
2007-02-07,12666.870117,2007-02-07,-0.9971,0.167,0.725,-0.9971
2007-02-08,12637.629883,2007-02-08,-0.9729,0.113,0.801,-0.9729
2007-02-09,12580.830078,2007-02-09,-0.9987,0.176,0.751,-0.9987
2007-02-10,12571.403320333335,2007-02-10,-0.9878,0.156,0.746,-0.9878
2007-02-11,12561.976562666667,2007-02-11,-0.9124,0.113,0.797,-0.9124
2007-02-12,12552.549805,2007-02-12,-0.9719,0.102,0.817,-0.9719
2007-02-13,12654.849609,2007-02-13,-0.9969,0.142,0.773,-0.9969
2007-02-14,12741.860352,2007-02-14,-0.9989,0.192,0.722,-0.9989
2007-02-15,12765.009766,2007-02-15,-0.998,0.179,0.723,-0.998
2007-02-16,12767.570312,2007-02-16,-0.9978,0.19,0.688,-0.9978
2007-02-17,12772.337646,2007-02-17,-0.9985,0.235,0.679,-0.9985
2007-02-18,12777.10498,2007-02-18,-0.9979,0.227,0.667,-0.9979
2007-02-19,12781.872314,2007-02-19,-0.9971,0.172,0.766,-0.9971
2007-02-20,12786.639648,2007-02-20,0.6187,0.112,0.769,0.6187
2007-02-21,12738.410156,2007-02-21,-0.9961,0.148,0.778,-0.9961
2007-02-22,12686.019531,2007-02-22,-0.9979,0.152,0.758,-0.9979
2007-02-23,12647.480469,2007-02-23,-0.9982,0.176,0.724,-0.9982
2007-02-24,12642.406901333334,2007-02-24,-0.9786,0.127,0.794,-0.9786
2007-02-25,12637.333333666666,2007-02-25,-0.4063,0.13,0.735,-0.4063
2007-02-26,12632.259766,2007-02-26,0.7757,0.077,0.834,0.7757
2007-02-27,12216.240234,2007-02-27,-0.9974,0.136,0.79,-0.9974
2007-02-28,12268.629883,2007-02-28,-0.9756,0.148,0.728,-0.9756
2007-03-01,12234.339844,2007-03-01,-0.9973,0.172,0.713,-0.9973
2007-03-02,12114.099609,2007-03-02,-0.9986,0.183,0.727,-0.9986
2007-03-03,12092.869791333334,2007-03-03,-0.9969,0.213,0.673,-0.9969
2007-03-04,12071.639973666666,2007-03-04,-0.9974,0.189,0.758,-0.9974
2007-03-05,12050.410156,2007-03-05,-0.983,0.121,0.806,-0.983
2007-03-06,12207.589844,2007-03-06,-0.9886,0.115,0.806,-0.9886
2007-03-07,12192.450195,2007-03-07,-0.9967,0.148,0.764,-0.9967
2007-03-08,12260.700195,2007-03-08,-0.9985,0.169,0.752,-0.9985
2007-03-09,12276.320312,2007-03-09,-0.9922,0.137,0.77,-0.9922
2007-03-10,12290.420247,2007-03-10,-0.9854,0.148,0.766,-0.9854
2007-03-11,12304.520182,2007-03-11,-0.9909,0.142,0.777,-0.9909
2007-03-12,12318.620117,2007-03-12,-0.9969,0.168,0.723,-0.9969
2007-03-13,12075.959961,2007-03-13,-0.9964,0.146,0.762,-0.9964
2007-03-14,12133.400391,2007-03-14,-0.9849,0.104,0.833,-0.9849
2007-03-15,12159.679688,2007-03-15,-0.9997,0.224,0.699,-0.9997
2007-03-16,12110.410156,2007-03-16,-0.9989,0.172,0.756,-0.9989
2007-03-17,12148.996744666667,2007-03-17,-0.9979,0.187,0.73,-0.9979
2007-03-18,12187.583333333332,2007-03-18,-0.9752,0.14,0.76,-0.9752
2007-03-19,12226.169922,2007-03-19,-0.9988,0.19,0.725,-0.9988
2007-03-20,12288.099609,2007-03-20,-0.9989,0.157,0.767,-0.9989
2007-03-21,12447.519531,2007-03-21,-0.9916,0.134,0.772,-0.9916
2007-03-22,12461.139648,2007-03-22,-0.9973,0.147,0.771,-0.9973
2007-03-23,12481.009766,2007-03-23,-0.9864,0.118,0.794,-0.9864
2007-03-24,12477.029948,2007-03-24,-0.9948,0.169,0.761,-0.9948
2007-03-25,12473.05013,2007-03-25,-0.7299,0.123,0.777,-0.7299
2007-03-26,12469.070312,2007-03-26,-0.9764,0.133,0.76,-0.9764
2007-03-27,12397.290039,2007-03-27,-0.9901,0.134,0.77,-0.9901
2007-03-28,12300.360352,2007-03-28,-0.9993,0.19,0.731,-0.9993
